genre,genreno,filename,count,tokens,richness,pleasantness,activation,imagery,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
press_rep,1,ca01,1173,705,0.601023018,1.865274226,1.827600221,1.913495575,0.024722933,0.047740835,0.006820119,0.029838022,0.021312873,0.049445865,0.10571185,0.026427962,0.011935209,0.111679454
press_rep,1,ca02,1254,774,0.61722488,1.878532426,1.795796599,1.908843537,0.020733652,0.03907496,0.00877193,0.026315789,0.020733652,0.052631579,0.100478469,0.023125997,0.010366826,0.10446571
press_rep,1,ca03,1245,678,0.544578313,1.88272731,1.845698579,1.949238579,0.036144578,0.069879518,0.01686747,0.053815261,0.032128514,0.063453815,0.109236948,0.032128514,0.00562249,0.095582329
press_rep,1,ca04,1115,745,0.668161435,1.828098853,1.850021216,1.787385321,0.026008969,0.0367713,0.006278027,0.040358744,0.020627803,0.068161435,0.130941704,0.021524664,0.013452915,0.110313901
press_rep,1,ca05,1133,619,0.546337158,1.873315948,1.816692026,1.815732759,0.030891439,0.06972639,0.014121801,0.041482789,0.030008826,0.038834951,0.13945278,0.022065313,0.020300088,0.117387467
press_rep,1,ca06,1139,695,0.610184372,1.867210859,1.844827446,1.868019093,0.027216857,0.032484636,0.013169447,0.038630378,0.024582968,0.055311677,0.122914838,0.023705004,0.009657594,0.079016681
press_rep,1,ca07,1179,741,0.628498728,1.868895455,1.825800998,1.897560976,0.020356234,0.055131467,0.009329941,0.030534351,0.030534351,0.04749788,0.13740458,0.012722646,0.015267176,0.078880407
press_rep,1,ca08,1111,683,0.614761476,1.87024653,1.777667349,1.851877133,0.02610261,0.0450045,0.01170117,0.03780378,0.03060306,0.070207021,0.082808281,0.03870387,0.01620162,0.062106211
press_rep,1,ca09,1213,754,0.62159934,1.84432214,1.851648339,2.007872079,0.037922506,0.032976092,0.009892828,0.052761748,0.008244023,0.061830173,0.070898599,0.024732069,0.012366035,0.057708162
press_rep,1,ca10,1178,757,0.642614601,1.895941379,1.85540092,1.899770115,0.022071307,0.061120543,0.006791171,0.0475382,0.031409168,0.03820034,0.117147708,0.015280136,0.011035654,0.08573854
press_rep,1,ca11,1242,800,0.644122383,1.900104781,1.85493745,2.109694555,0.013687601,0.041062802,0.00805153,0.019323671,0.026570048,0.034621578,0.065217391,0.020128824,0.019323671,0.037037037
press_rep,1,ca12,1195,682,0.570711297,1.903988321,1.87404854,1.992457421,0.031799163,0.050209205,0.014225941,0.028451883,0.035146444,0.051882845,0.072803347,0.030125523,0.016736402,0.048535565
press_rep,1,ca13,1163,754,0.648323302,1.920653878,1.857573823,2.08531856,0.017196905,0.034393809,0.010318143,0.01977644,0.027515047,0.034393809,0.069647463,0.013757524,0.022355976,0.051590714
press_rep,1,ca14,1172,788,0.672354949,1.925925127,1.852071066,2.01928934,0.018771331,0.04778157,0.01109215,0.026450512,0.040102389,0.044368601,0.110921502,0.024744027,0.027303754,0.075938567
press_rep,1,ca15,1158,750,0.647668394,1.995392667,1.877389867,1.986933333,0.015544041,0.044041451,0.006044905,0.014680484,0.033678756,0.030224525,0.07253886,0.018998273,0.016407599,0.055267703
press_rep,1,ca16,1254,888,0.708133971,2.013178817,1.847320633,2.13562586,0.015948963,0.055821372,0.011164274,0.018341308,0.045454545,0.03030303,0.093301435,0.022328549,0.023125997,0.06539075
press_rep,1,ca17,1222,797,0.652209493,2.024204803,1.822940175,2.134206696,0.009819967,0.044189853,0.004909984,0.01391162,0.051554828,0.027823241,0.102291326,0.018003273,0.015548282,0.065466448
press_rep,1,ca18,1267,753,0.594317285,2.016472817,1.809962273,2.077759473,0.00789266,0.031570639,0.010260458,0.00789266,0.042620363,0.01973165,0.090765588,0.013417522,0.010260458,0.049723757
press_rep,1,ca19,1197,766,0.639933166,1.85437156,1.802488188,2.022706422,0.023391813,0.036758563,0.010025063,0.047619048,0.020885547,0.051796157,0.091060986,0.029239766,0.009189641,0.07518797
press_rep,1,ca20,1220,782,0.640983607,1.877607314,1.810869065,1.995923261,0.035245902,0.044262295,0.010655738,0.045081967,0.028688525,0.05,0.081147541,0.018852459,0.020491803,0.054918033
