genre,genreno,filename,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
press_rep,1,ca01,0.024722933,0.047740835,0.006820119,0.029838022,0.021312873,0.049445865,0.10571185,0.026427962,0.011935209,0.111679454
press_rep,1,ca02,0.020733652,0.03907496,0.00877193,0.026315789,0.020733652,0.052631579,0.100478469,0.023125997,0.010366826,0.10446571
press_rep,1,ca03,0.036144578,0.069879518,0.01686747,0.053815261,0.032128514,0.063453815,0.109236948,0.032128514,0.00562249,0.095582329
press_rep,1,ca04,0.026008969,0.0367713,0.006278027,0.040358744,0.020627803,0.068161435,0.130941704,0.021524664,0.013452915,0.110313901
press_rep,1,ca05,0.030891439,0.06972639,0.014121801,0.041482789,0.030008826,0.038834951,0.13945278,0.022065313,0.020300088,0.117387467
press_rep,1,ca06,0.027216857,0.032484636,0.013169447,0.038630378,0.024582968,0.055311677,0.122914838,0.023705004,0.009657594,0.079016681
press_rep,1,ca07,0.020356234,0.055131467,0.009329941,0.030534351,0.030534351,0.04749788,0.13740458,0.012722646,0.015267176,0.078880407
press_rep,1,ca08,0.02610261,0.0450045,0.01170117,0.03780378,0.03060306,0.070207021,0.082808281,0.03870387,0.01620162,0.062106211
press_rep,1,ca09,0.037922506,0.032976092,0.009892828,0.052761748,0.008244023,0.061830173,0.070898599,0.024732069,0.012366035,0.057708162
press_rep,1,ca10,0.022071307,0.061120543,0.006791171,0.0475382,0.031409168,0.03820034,0.117147708,0.015280136,0.011035654,0.08573854
press_rep,1,ca11,0.013687601,0.041062802,0.00805153,0.019323671,0.026570048,0.034621578,0.065217391,0.020128824,0.019323671,0.037037037
press_rep,1,ca12,0.031799163,0.050209205,0.014225941,0.028451883,0.035146444,0.051882845,0.072803347,0.030125523,0.016736402,0.048535565
press_rep,1,ca13,0.017196905,0.034393809,0.010318143,0.01977644,0.027515047,0.034393809,0.069647463,0.013757524,0.022355976,0.051590714
press_rep,1,ca14,0.018771331,0.04778157,0.01109215,0.026450512,0.040102389,0.044368601,0.110921502,0.024744027,0.027303754,0.075938567
press_rep,1,ca15,0.015544041,0.044041451,0.006044905,0.014680484,0.033678756,0.030224525,0.07253886,0.018998273,0.016407599,0.055267703
press_rep,1,ca16,0.015948963,0.055821372,0.011164274,0.018341308,0.045454545,0.03030303,0.093301435,0.022328549,0.023125997,0.06539075
press_rep,1,ca17,0.009819967,0.044189853,0.004909984,0.01391162,0.051554828,0.027823241,0.102291326,0.018003273,0.015548282,0.065466448
press_rep,1,ca18,0.00789266,0.031570639,0.010260458,0.00789266,0.042620363,0.01973165,0.090765588,0.013417522,0.010260458,0.049723757
press_rep,1,ca19,0.023391813,0.036758563,0.010025063,0.047619048,0.020885547,0.051796157,0.091060986,0.029239766,0.009189641,0.07518797
press_rep,1,ca20,0.035245902,0.044262295,0.010655738,0.045081967,0.028688525,0.05,0.081147541,0.018852459,0.020491803,0.054918033
press_rep,1,ca21,0.02905569,0.042776433,0.012106538,0.062953995,0.024213075,0.066989508,0.071832123,0.037933818,0.012106538,0.06779661
press_rep,1,ca22,0.022819886,0.041564792,0.015484923,0.035859821,0.023634882,0.046454768,0.10594947,0.024449878,0.014669927,0.064384678
press_rep,1,ca23,0.016613924,0.049050633,0.011867089,0.02056962,0.04193038,0.036392405,0.094936709,0.027689873,0.016613924,0.086234177
press_rep,1,ca24,0.021634615,0.041666667,0.008814103,0.043269231,0.023237179,0.048878205,0.085737179,0.030448718,0.015224359,0.074519231
press_rep,1,ca25,0.040584416,0.039772727,0.021103896,0.044642857,0.025974026,0.066558442,0.088474026,0.026785714,0.01461039,0.074675325
press_rep,1,ca26,0.013256007,0.033968517,0.004142502,0.011599006,0.018227009,0.026512013,0.068765534,0.008285004,0.010770505,0.044739022
press_rep,1,ca27,0.020593081,0.039538715,0.008237232,0.027182867,0.018121911,0.046128501,0.105436573,0.02553542,0.012355848,0.073311367
press_rep,1,ca28,0.016722408,0.067725753,0.005852843,0.026755853,0.032608696,0.068561873,0.089464883,0.04180602,0.010033445,0.06187291
