genre,genreno,filename,pleasantness,activation,imagery,word_1,word_2,word_af,word_also,word_american,word_another,word_arlene,word_around,word_back,word_bdikkat,word_business,word_came,word_car,word_christ,word_christian,word_church,word_come,word_could,word_day,word_development,word_door,word_ekstrohm,word_even,word_eyes,word_face,word_feed,word_first,word_fiscal,word_general,word_get,word_go,word_god,word_good,word_got,word_government,word_great,word_hal,word_helva,word_home,word_house,word_jack,word_jazz,word_know,word_last,word_life,word_like,word_line,word_little,word_long,word_looked,word_made,word_make,word_man,word_many,word_may,word_members,word_men,word_mercer,word_mike,word_mother,word_mr,word_mrs,word_much,word_music,word_must,word_never,word_new,word_number,word_old,word_one,word_people,word_power,word_president,word_program,word_public,word_right,word_said,word_school,word_see,word_shall,word_ship,word_spirit,word_state,word_states,word_still,word_system,word_tax,word_things,word_thought,word_three,word_time,word_two,word_united,word_us,word_use,word_used,word_war,word_water,word_way,word_week,word_well,word_went,word_work,word_world,word_would,word_year,word_years
press_rep,1,ca01,1.865274226,1.827600221,1.913495575,5,4,1,4,1,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,5,1,3,1,2,1,2,3,1,1,1,1,3,6,1,1,1,2,1,3,1,1,2,1,3,4,2,3,2,2,1,1,1,1,1,2,1,1,4,1,7,4,2,5,1,1,1,3,3,1,25,6,2,1,1,1,13,1,1,3,3,1,1,2,3,4,1,1,1,1,1,1,1,1,2,2,6,1,10,3,2
press_rep,1,ca02,1.878532426,1.795796599,1.908843537,2,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,3,6,2,1,1,1,1,1,1,2,2,3,3,1,1,1,2,1,1,1,1,2,8,1,1,1,2,1,4,1,3,3,1,2,3,1,2,2,3,1,1,1,1,1,1,1,1,3,1,3,1,1,7,4,1,3,5,6,2,15,10,1,1,1,1,14,1,2,1,3,1,1,2,2,5,1,1,1,1,1,6,1,2,1,2,2,1,27,3,4
press_rep,1,ca03,1.88272731,1.845698579,1.949238579,6,2,1,5,3,3,1,1,1,1,2,1,1,1,1,1,1,3,2,1,1,1,2,1,1,1,8,1,3,2,6,1,1,2,3,1,1,1,8,9,1,1,1,10,1,1,1,1,1,1,8,2,1,2,3,2,1,1,1,1,1,1,4,1,1,1,5,2,1,3,4,1,17,6,1,1,18,2,1,1,1,1,2,4,3,3,7,1,1,1,3,3,1,1,3,2,1,1,2,2,1,1,2,1,21,18,5
press_rep,1,ca04,1.828098853,1.850021216,1.787385321,1,1,1,5,1,4,1,2,3,1,1,2,1,1,1,1,2,2,1,3,1,1,5,1,1,1,5,1,6,3,1,1,1,1,5,2,1,1,1,2,1,1,1,1,1,1,2,2,3,2,5,2,1,1,3,1,1,1,1,1,5,1,4,1,3,5,6,1,1,7,1,2,8,3,1,1,4,1,2,1,1,2,7,16,1,2,1,1,1,3,5,2,15,1,2,2,2,1,1,1,2,2,1,2,10,3,2
press_rep,1,ca05,1.873315948,1.816692026,1.815732759,1,1,1,3,2,2,1,1,4,1,3,2,1,1,1,1,5,4,3,1,1,1,2,1,1,1,4,1,7,2,4,1,1,1,7,2,1,1,7,2,1,1,3,8,1,1,2,1,1,1,3,2,2,1,4,2,2,1,1,1,26,1,1,1,5,1,2,2,1,7,2,1,5,5,6,4,32,1,1,1,1,1,6,2,1,3,2,2,1,1,5,3,1,3,2,1,1,1,2,3,1,1,2,1,21,2,3
press_rep,1,ca06,1.867210859,1.844827446,1.868019093,1,1,1,3,2,1,1,1,2,1,2,1,1,1,1,1,4,2,1,3,1,1,2,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,7,2,2,1,1,1,1,6,3,9,1,3,4,1,1,1,1,5,4,1,1,4,1,12,2,2,5,7,1,7,4,4,2,27,2,2,2,1,1,29,3,2,2,6,1,1,3,4,1,2,1,3,1,2,1,1,2,3,1,1,3,5,5,5
press_rep,1,ca07,1.868895455,1.825800998,1.897560976,1,1,1,2,3,3,1,1,2,1,1,2,1,1,1,4,2,3,3,4,1,1,1,1,1,1,1,1,2,5,1,1,2,1,10,1,1,1,3,4,1,1,1,10,2,1,1,2,2,1,5,3,1,1,1,4,1,1,1,1,18,1,1,1,1,1,5,3,1,7,4,1,4,3,6,2,11,1,3,1,1,1,10,2,2,1,1,1,1,8,2,6,8,1,2,1,1,1,1,7,1,1,3,1,14,3,2
press_rep,1,ca08,1.87024653,1.777667349,1.851877133,1,2,1,4,2,4,1,1,5,1,2,2,2,1,1,1,4,10,2,1,1,1,4,2,2,1,4,4,2,2,3,1,1,1,3,3,1,1,2,6,1,1,2,2,1,2,1,1,4,1,1,4,2,6,5,2,1,1,1,1,1,1,2,1,2,1,7,1,2,10,1,2,6,4,2,2,2,4,4,1,1,1,5,10,2,1,16,1,1,2,4,3,2,2,3,1,2,1,3,1,4,1,2,2,11,9,4
press_rep,1,ca09,1.84432214,1.851648339,2.007872079,4,1,1,7,1,1,1,1,1,1,2,3,5,1,1,1,1,3,3,3,1,1,1,1,1,1,2,1,2,2,1,1,1,2,5,1,1,1,5,6,1,1,4,5,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,6,1,1,3,2,1,6,1,2,1,23,1,2,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,2,1,9,1,13,6,1
press_rep,1,ca10,1.895941379,1.85540092,1.899770115,1,1,1,3,1,1,1,1,2,1,2,2,1,3,1,6,1,2,2,1,1,1,2,1,2,1,5,1,4,3,4,9,1,1,4,2,1,1,2,1,2,1,1,2,4,1,1,1,3,1,2,3,2,2,3,5,3,1,1,1,4,4,1,1,6,1,11,1,2,4,4,1,1,5,2,2,19,8,3,1,1,1,5,5,1,3,1,1,5,5,1,6,7,2,3,2,2,3,2,2,1,1,5,2,10,1,6
press_rep,1,ca11,1.900104781,1.85493745,2.109694555,1,2,1,2,6,1,1,3,2,1,1,2,1,1,1,1,2,1,4,1,1,1,1,1,3,1,10,1,1,1,2,1,2,5,1,1,1,1,1,3,3,1,2,8,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,7,1,2,6,1,1,1,3,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,10,3,12,1,1,1,1,1,1,1,3,2,2,1,3,1,3,1
press_rep,1,ca12,1.903988321,1.87404854,1.992457421,1,1,1,1,2,2,1,2,7,1,1,3,1,1,1,1,1,2,2,1,1,1,3,1,1,1,4,1,2,6,1,1,5,4,1,1,1,1,3,1,3,1,3,9,1,3,3,2,3,1,7,1,1,1,1,2,2,1,3,1,1,1,4,1,1,3,3,1,1,12,1,1,1,1,1,5,12,3,1,1,1,1,6,1,2,1,1,1,2,8,6,9,1,2,3,1,1,1,3,9,2,4,5,1,3,5,4
press_rep,1,ca13,1.920653878,1.857573823,2.08531856,4,1,1,2,4,4,1,2,6,1,2,4,1,1,1,1,2,1,3,1,1,1,1,1,1,1,12,1,1,2,2,1,5,4,1,2,1,1,12,1,2,1,4,6,1,1,4,2,2,1,6,1,3,4,5,1,3,1,1,1,1,2,2,1,1,3,6,1,1,6,1,1,1,1,1,2,8,1,2,1,1,1,1,1,3,1,1,1,1,5,2,13,1,1,1,2,1,1,3,1,2,2,1,4,3,5,2
press_rep,1,ca14,1.925925127,1.852071066,2.01928934,1,1,1,5,2,4,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,3,1,2,3,3,1,2,2,1,1,1,1,2,1,1,1,1,7,1,4,3,1,4,1,2,2,6,2,1,2,1,2,1,1,1,2,3,1,3,2,10,1,3,9,1,1,2,1,1,3,8,2,1,1,1,2,1,3,1,1,1,1,1,2,1,6,3,1,1,1,1,1,3,1,1,2,1,3,6,6,7
