genre,genreno,filename,count,tokens,richness,pleasantness,activation,imagery
press_rep,1,ca01,1173,705,0.601023018,1.865274226,1.827600221,1.913495575
press_rep,1,ca02,1254,774,0.61722488,1.878532426,1.795796599,1.908843537
press_rep,1,ca03,1245,678,0.544578313,1.88272731,1.845698579,1.949238579
press_rep,1,ca04,1115,745,0.668161435,1.828098853,1.850021216,1.787385321
press_rep,1,ca05,1133,619,0.546337158,1.873315948,1.816692026,1.815732759
press_rep,1,ca06,1139,695,0.610184372,1.867210859,1.844827446,1.868019093
press_rep,1,ca07,1179,741,0.628498728,1.868895455,1.825800998,1.897560976
press_rep,1,ca08,1111,683,0.614761476,1.87024653,1.777667349,1.851877133
press_rep,1,ca09,1213,754,0.62159934,1.84432214,1.851648339,2.007872079
press_rep,1,ca10,1178,757,0.642614601,1.895941379,1.85540092,1.899770115
press_rep,1,ca11,1242,800,0.644122383,1.900104781,1.85493745,2.109694555
press_rep,1,ca12,1195,682,0.570711297,1.903988321,1.87404854,1.992457421
press_rep,1,ca13,1163,754,0.648323302,1.920653878,1.857573823,2.08531856
press_rep,1,ca14,1172,788,0.672354949,1.925925127,1.852071066,2.01928934
press_rep,1,ca15,1158,750,0.647668394,1.995392667,1.877389867,1.986933333
press_rep,1,ca16,1254,888,0.708133971,2.013178817,1.847320633,2.13562586
press_rep,1,ca17,1222,797,0.652209493,2.024204803,1.822940175,2.134206696
press_rep,1,ca18,1267,753,0.594317285,2.016472817,1.809962273,2.077759473
press_rep,1,ca19,1197,766,0.639933166,1.85437156,1.802488188,2.022706422
press_rep,1,ca20,1220,782,0.640983607,1.877607314,1.810869065,1.995923261
press_rep,1,ca21,1239,794,0.640839387,1.882390687,1.83440291,2.018393481
press_rep,1,ca22,1227,745,0.607171964,1.898826453,1.832927639,2.02514828
press_rep,1,ca23,1264,838,0.662974684,1.923533,1.7967615,1.98475
press_rep,1,ca24,1248,809,0.648237179,1.842822657,1.812680071,2.06405694
press_rep,1,ca25,1232,840,0.681818182,1.85553728,1.86295,1.982619647
press_rep,1,ca26,1207,725,0.6006628,1.943317076,1.765908772,1.917426901
press_rep,1,ca27,1214,801,0.659802306,1.89927589,1.831129966,1.805740528
press_rep,1,ca28,1196,709,0.592809365,1.895833932,1.784413214,1.935940803
press_rep,1,ca29,1201,915,0.761865112,2.009957351,1.783948609,2.113112583
