genre,genreno,filename,count,tokens,richness,word_1,word_2,word_af,word_also,word_american,word_another,word_arlene,word_around,word_back,word_bdikkat,word_business,word_came,word_car,word_christ,word_christian,word_church,word_come,word_could,word_day,word_development,word_door,word_ekstrohm,word_even,word_eyes,word_face,word_feed,word_first,word_fiscal,word_general,word_get,word_go,word_god,word_good,word_got,word_government,word_great,word_hal,word_helva,word_home,word_house,word_jack,word_jazz,word_know,word_last,word_life,word_like,word_line,word_little,word_long,word_looked,word_made,word_make,word_man,word_many,word_may,word_members,word_men,word_mercer,word_mike,word_mother,word_mr,word_mrs,word_much,word_music,word_must,word_never,word_new,word_number,word_old,word_one,word_people,word_power,word_president,word_program,word_public,word_right,word_said,word_school,word_see,word_shall,word_ship,word_spirit,word_state,word_states,word_still,word_system,word_tax,word_things,word_thought,word_three,word_time,word_two,word_united,word_us,word_use,word_used,word_war,word_water,word_way,word_week,word_well,word_went,word_work,word_world,word_would,word_year,word_years
press_rep,1,ca01,1173,705,0.601023018,5,4,1,4,1,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,5,1,3,1,2,1,2,3,1,1,1,1,3,6,1,1,1,2,1,3,1,1,2,1,3,4,2,3,2,2,1,1,1,1,1,2,1,1,4,1,7,4,2,5,1,1,1,3,3,1,25,6,2,1,1,1,13,1,1,3,3,1,1,2,3,4,1,1,1,1,1,1,1,1,2,2,6,1,10,3,2
press_rep,1,ca02,1254,774,0.61722488,2,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,3,6,2,1,1,1,1,1,1,2,2,3,3,1,1,1,2,1,1,1,1,2,8,1,1,1,2,1,4,1,3,3,1,2,3,1,2,2,3,1,1,1,1,1,1,1,1,3,1,3,1,1,7,4,1,3,5,6,2,15,10,1,1,1,1,14,1,2,1,3,1,1,2,2,5,1,1,1,1,1,6,1,2,1,2,2,1,27,3,4
press_rep,1,ca03,1245,678,0.544578313,6,2,1,5,3,3,1,1,1,1,2,1,1,1,1,1,1,3,2,1,1,1,2,1,1,1,8,1,3,2,6,1,1,2,3,1,1,1,8,9,1,1,1,10,1,1,1,1,1,1,8,2,1,2,3,2,1,1,1,1,1,1,4,1,1,1,5,2,1,3,4,1,17,6,1,1,18,2,1,1,1,1,2,4,3,3,7,1,1,1,3,3,1,1,3,2,1,1,2,2,1,1,2,1,21,18,5
press_rep,1,ca04,1115,745,0.668161435,1,1,1,5,1,4,1,2,3,1,1,2,1,1,1,1,2,2,1,3,1,1,5,1,1,1,5,1,6,3,1,1,1,1,5,2,1,1,1,2,1,1,1,1,1,1,2,2,3,2,5,2,1,1,3,1,1,1,1,1,5,1,4,1,3,5,6,1,1,7,1,2,8,3,1,1,4,1,2,1,1,2,7,16,1,2,1,1,1,3,5,2,15,1,2,2,2,1,1,1,2,2,1,2,10,3,2
press_rep,1,ca05,1133,619,0.546337158,1,1,1,3,2,2,1,1,4,1,3,2,1,1,1,1,5,4,3,1,1,1,2,1,1,1,4,1,7,2,4,1,1,1,7,2,1,1,7,2,1,1,3,8,1,1,2,1,1,1,3,2,2,1,4,2,2,1,1,1,26,1,1,1,5,1,2,2,1,7,2,1,5,5,6,4,32,1,1,1,1,1,6,2,1,3,2,2,1,1,5,3,1,3,2,1,1,1,2,3,1,1,2,1,21,2,3
press_rep,1,ca06,1139,695,0.610184372,1,1,1,3,2,1,1,1,2,1,2,1,1,1,1,1,4,2,1,3,1,1,2,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,7,2,2,1,1,1,1,6,3,9,1,3,4,1,1,1,1,5,4,1,1,4,1,12,2,2,5,7,1,7,4,4,2,27,2,2,2,1,1,29,3,2,2,6,1,1,3,4,1,2,1,3,1,2,1,1,2,3,1,1,3,5,5,5
press_rep,1,ca07,1179,741,0.628498728,1,1,1,2,3,3,1,1,2,1,1,2,1,1,1,4,2,3,3,4,1,1,1,1,1,1,1,1,2,5,1,1,2,1,10,1,1,1,3,4,1,1,1,10,2,1,1,2,2,1,5,3,1,1,1,4,1,1,1,1,18,1,1,1,1,1,5,3,1,7,4,1,4,3,6,2,11,1,3,1,1,1,10,2,2,1,1,1,1,8,2,6,8,1,2,1,1,1,1,7,1,1,3,1,14,3,2
press_rep,1,ca08,1111,683,0.614761476,1,2,1,4,2,4,1,1,5,1,2,2,2,1,1,1,4,10,2,1,1,1,4,2,2,1,4,4,2,2,3,1,1,1,3,3,1,1,2,6,1,1,2,2,1,2,1,1,4,1,1,4,2,6,5,2,1,1,1,1,1,1,2,1,2,1,7,1,2,10,1,2,6,4,2,2,2,4,4,1,1,1,5,10,2,1,16,1,1,2,4,3,2,2,3,1,2,1,3,1,4,1,2,2,11,9,4
press_rep,1,ca09,1213,754,0.62159934,4,1,1,7,1,1,1,1,1,1,2,3,5,1,1,1,1,3,3,3,1,1,1,1,1,1,2,1,2,2,1,1,1,2,5,1,1,1,5,6,1,1,4,5,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,6,1,1,3,2,1,6,1,2,1,23,1,2,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,2,1,9,1,13,6,1
press_rep,1,ca10,1178,757,0.642614601,1,1,1,3,1,1,1,1,2,1,2,2,1,3,1,6,1,2,2,1,1,1,2,1,2,1,5,1,4,3,4,9,1,1,4,2,1,1,2,1,2,1,1,2,4,1,1,1,3,1,2,3,2,2,3,5,3,1,1,1,4,4,1,1,6,1,11,1,2,4,4,1,1,5,2,2,19,8,3,1,1,1,5,5,1,3,1,1,5,5,1,6,7,2,3,2,2,3,2,2,1,1,5,2,10,1,6
press_rep,1,ca11,1242,800,0.644122383,1,2,1,2,6,1,1,3,2,1,1,2,1,1,1,1,2,1,4,1,1,1,1,1,3,1,10,1,1,1,2,1,2,5,1,1,1,1,1,3,3,1,2,8,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,7,1,2,6,1,1,1,3,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,10,3,12,1,1,1,1,1,1,1,3,2,2,1,3,1,3,1
press_rep,1,ca12,1195,682,0.570711297,1,1,1,1,2,2,1,2,7,1,1,3,1,1,1,1,1,2,2,1,1,1,3,1,1,1,4,1,2,6,1,1,5,4,1,1,1,1,3,1,3,1,3,9,1,3,3,2,3,1,7,1,1,1,1,2,2,1,3,1,1,1,4,1,1,3,3,1,1,12,1,1,1,1,1,5,12,3,1,1,1,1,6,1,2,1,1,1,2,8,6,9,1,2,3,1,1,1,3,9,2,4,5,1,3,5,4
press_rep,1,ca13,1163,754,0.648323302,4,1,1,2,4,4,1,2,6,1,2,4,1,1,1,1,2,1,3,1,1,1,1,1,1,1,12,1,1,2,2,1,5,4,1,2,1,1,12,1,2,1,4,6,1,1,4,2,2,1,6,1,3,4,5,1,3,1,1,1,1,2,2,1,1,3,6,1,1,6,1,1,1,1,1,2,8,1,2,1,1,1,1,1,3,1,1,1,1,5,2,13,1,1,1,2,1,1,3,1,2,2,1,4,3,5,2
press_rep,1,ca14,1172,788,0.672354949,1,1,1,5,2,4,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,3,1,2,3,3,1,2,2,1,1,1,1,2,1,1,1,1,7,1,4,3,1,4,1,2,2,6,2,1,2,1,2,1,1,1,2,3,1,3,2,10,1,3,9,1,1,2,1,1,3,8,2,1,1,1,2,1,3,1,1,1,1,1,2,1,6,3,1,1,1,1,1,3,1,1,2,1,3,6,6,7
press_rep,1,ca15,1158,750,0.647668394,7,2,1,7,2,1,1,1,3,1,1,3,1,1,1,1,1,9,6,1,1,1,3,1,1,1,7,1,1,4,1,1,4,2,1,3,2,1,9,1,1,1,2,9,1,3,1,3,3,2,2,2,3,2,10,1,8,1,1,1,1,2,7,1,1,4,4,1,2,2,2,2,1,1,1,2,12,1,2,1,1,3,2,1,1,1,1,1,2,2,3,3,1,1,2,1,1,1,2,4,3,1,1,2,5,7,3
press_rep,1,ca16,1254,888,0.708133971,1,2,1,5,2,2,1,3,9,1,2,1,1,1,1,2,4,1,5,1,1,1,3,1,1,1,5,1,2,4,2,1,1,1,1,1,1,1,5,3,3,1,2,5,1,1,1,1,1,1,1,3,3,3,4,3,1,1,1,3,8,21,1,1,2,2,13,1,4,5,3,1,4,1,1,2,1,3,2,1,1,1,2,2,3,1,1,1,1,2,4,1,3,1,2,1,1,1,2,2,2,2,1,5,2,4,3
press_rep,1,ca17,1222,797,0.652209493,3,5,1,4,1,2,1,1,4,1,2,2,2,1,2,6,1,1,2,1,1,1,3,1,1,1,6,1,1,1,3,1,2,1,1,3,1,1,9,3,1,1,1,2,2,3,1,1,1,1,3,2,5,5,5,4,3,1,1,2,12,53,1,4,1,1,9,4,3,6,1,1,3,2,2,1,3,3,3,1,1,1,4,1,1,2,1,1,1,2,1,3,1,1,1,1,2,1,3,4,1,2,2,4,1,1,2
press_rep,1,ca18,1267,753,0.594317285,3,3,1,4,1,2,1,1,2,1,4,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,7,2,2,2,3,3,1,3,1,2,1,1,6,1,1,1,4,9,2,1,1,3,28,98,2,2,1,2,6,2,2,3,1,1,2,3,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,4,1,1,2,1,3,1,1,1,3,2,1,2,1,3,4,4
press_rep,1,ca19,1197,766,0.639933166,3,3,1,5,1,2,1,1,3,1,3,1,4,1,1,1,2,1,1,2,2,1,1,1,3,1,5,1,3,1,2,1,1,2,1,1,1,1,6,6,1,1,1,6,1,1,1,1,1,1,5,1,2,2,1,3,3,1,1,2,11,5,1,1,3,1,3,4,2,3,1,1,4,2,3,2,26,3,1,1,1,1,6,2,1,1,1,2,1,3,3,6,1,1,4,2,1,1,1,2,1,1,3,1,3,2,6
press_rep,1,ca20,1220,782,0.640983607,1,1,1,10,9,1,1,3,2,1,1,1,3,1,1,1,1,5,2,3,1,1,1,1,1,1,8,1,1,3,2,1,2,2,3,1,1,1,2,2,1,1,5,4,1,2,1,2,1,1,5,2,4,3,2,3,3,1,1,2,1,3,4,1,1,1,4,1,3,3,2,3,2,1,1,1,14,3,1,1,3,1,1,7,2,1,1,1,1,6,2,10,7,1,1,5,1,2,3,2,2,4,3,2,9,3,8
press_rep,1,ca21,1239,794,0.640839387,3,2,1,6,2,5,1,2,2,1,1,4,5,1,1,2,1,3,5,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,6,1,1,1,6,3,3,1,2,5,1,1,2,2,2,1,4,2,1,2,2,1,2,1,1,6,1,14,1,1,2,2,4,4,1,7,2,1,2,1,2,1,22,8,1,1,1,1,3,2,2,1,1,1,1,4,2,5,3,1,1,2,1,1,2,2,1,1,1,3,7,3,2
